seed,baseline,validator_mode,strictness,assumption_profile,unsafe_commit_rate,prefix_soundness_violation_count,theorem_check_pass_rate,counterexample_hit_rate
11,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,0.0,0,1.0,0.0
23,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,0.0,0,1.0,0.0
37,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,0.0,0,1.0,0.0
101,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,0.0,0,1.0,0.0
11,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,1.0,1,0.0,1.0
23,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,1.0,1,0.0,1.0
37,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,1.0,1,0.0,1.0
101,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,1.0,1,0.0,1.0
11,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,1.0,1,0.0,0.0
23,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,1.0,1,0.0,0.0
37,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,1.0,1,0.0,0.0
101,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,1.0,1,0.0,0.0
11,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,0.0,0,1.0,0.0
23,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,0.0,0,1.0,0.0
37,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,0.0,0,1.0,0.0
101,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,0.0,0,1.0,0.0
11,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_off,1.0,1,0.0,1.0
23,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_off,1.0,1,0.0,1.0
37,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_off,1.0,1,0.0,1.0
