seed,baseline,B_max,delta,eta,oscillation_rate,recovery_steps_per_episode,bound_ratio,bound_violation_rate,regret_vs_pi_rb
13,BL-GREEDY-CONTINUE,1,0.05,0.02,0.0,1.0,0.045454545454545456,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.05,0.05,1.0,1.0,0.045454545454545456,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.05,0.08,1.0,1.0,0.045454545454545456,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.1,0.02,0.0,1.0,0.09090909090909091,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.1,0.05,0.0,1.0,0.09090909090909091,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.1,0.08,0.0,1.0,0.09090909090909091,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
29,BL-GREEDY-CONTINUE,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
47,BL-GREEDY-CONTINUE,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
89,BL-GREEDY-CONTINUE,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.065
