seed,baseline,B_max,delta,eta,oscillation_rate,recovery_steps_per_episode,bound_ratio,bound_violation_rate,regret_vs_pi_rb
13,BL-GREEDY-CONTINUE,1,0.05,0.02,0.0,1.0,0.045454545454545456,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.05,0.05,1.0,1.0,0.045454545454545456,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.05,0.08,1.0,1.0,0.045454545454545456,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.1,0.02,0.0,1.0,0.09090909090909091,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.1,0.05,0.0,1.0,0.09090909090909091,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.1,0.08,0.0,1.0,0.09090909090909091,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-GREEDY-CONTINUE,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.05,0.02,0.0,2.0,0.09090909090909091,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.05,0.05,1.0,2.0,0.09090909090909091,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.05,0.08,1.0,2.0,0.09090909090909091,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.1,0.02,0.0,2.0,0.18181818181818182,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.1,0.05,0.0,2.0,0.18181818181818182,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.1,0.08,0.0,2.0,0.18181818181818182,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-GREEDY-CONTINUE,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.05,0.02,0.0,3.0,0.13636363636363635,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.05,0.05,1.0,3.0,0.13636363636363635,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.05,0.08,1.0,3.0,0.13636363636363635,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.1,0.02,0.0,3.0,0.2727272727272727,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.1,0.05,0.0,3.0,0.2727272727272727,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.1,0.08,0.0,3.0,0.2727272727272727,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.2,0.02,0.0,3.0,0.5,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.2,0.05,0.0,3.0,0.5,0.0,0.065
13,BL-GREEDY-CONTINUE,3,0.2,0.08,0.0,3.0,0.5,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.05,0.02,0.0,5.0,0.22727272727272727,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.05,0.05,1.0,5.0,0.22727272727272727,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.05,0.08,1.0,5.0,0.22727272727272727,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.1,0.02,0.0,5.0,0.45454545454545453,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.1,0.05,0.0,5.0,0.45454545454545453,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.1,0.08,0.0,5.0,0.45454545454545453,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.065
13,BL-GREEDY-CONTINUE,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.065
13,BL-UNBOUNDED-BRANCHING,1,0.05,0.02,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.05,0.05,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.05,0.08,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.1,0.02,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.1,0.05,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.2,0.02,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.2,0.05,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.2,0.08,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.05,0.02,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.05,0.05,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.05,0.08,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.1,0.02,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.1,0.05,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.2,0.02,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.2,0.05,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.2,0.08,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.05,0.02,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.05,0.05,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.05,0.08,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.1,0.02,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.1,0.05,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.2,0.02,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.2,0.05,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.2,0.08,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.05,0.02,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.05,0.05,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.05,0.08,1.0,24.0,1.0909090909090908,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.1,0.02,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.1,0.05,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.2,0.02,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.2,0.05,1.0,7.5,1.25,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.2,0.08,1.0,7.5,1.25,1.0,0.07
13,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.02,0.0,1.0,0.045454545454545456,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.05,1.0,1.0,0.045454545454545456,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.08,1.0,1.0,0.045454545454545456,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.02,0.0,1.0,0.09090909090909091,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.05,0.0,1.0,0.09090909090909091,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.08,0.0,1.0,0.09090909090909091,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.02,0.0,2.0,0.09090909090909091,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.05,1.0,2.0,0.09090909090909091,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.08,1.0,2.0,0.09090909090909091,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.02,0.0,2.0,0.18181818181818182,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.05,0.0,2.0,0.18181818181818182,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.08,0.0,2.0,0.18181818181818182,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.02,0.0,3.0,0.13636363636363635,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.05,1.0,3.0,0.13636363636363635,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.08,1.0,3.0,0.13636363636363635,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.02,0.0,3.0,0.2727272727272727,0.0,0.065
